naughty  becomes       charsets
0x0027   0x005C 0x27   UCS-2 [\] UCS-2BE [\] UCS-2LE [尀] UTF-16 [\] UTF-16BE [\] UTF-16LE [尀]
0x0127   0x015C 0x27   UCS-2 [Ŝ] UCS-2BE [Ŝ] UCS-2LE [封] UTF-16 [Ŝ] UTF-16BE [Ŝ] UTF-16LE [封]
0x0227   0x025C 0x27   UCS-2 [ɜ] UCS-2BE [ɜ] UCS-2LE [専] UTF-16 [ɜ] UTF-16BE [ɜ] UTF-16LE [専]
0x0327   0x035C 0x27   UCS-2 [͜] UCS-2BE [͜] UCS-2LE [尃] UTF-16 [͜] UTF-16BE [͜] UTF-16LE [尃]
0x0427   0x045C 0x27   UCS-2 [ќ] UCS-2BE [ќ] UCS-2LE [射] UTF-16 [ќ] UTF-16BE [ќ] UTF-16LE [射]
0x0527   0x055C 0x27   UCS-2 [՜] UCS-2BE [՜] UCS-2LE [尅] UTF-16 [՜] UTF-16BE [՜] UTF-16LE [尅]
0x0627   0x065C 0x27   UCS-2 [ٜ] UCS-2BE [ٜ] UCS-2LE [将] UTF-16 [ٜ] UTF-16BE [ٜ] UTF-16LE [将]
0x0727   0x075C 0x27   UCS-2 [ݜ] UCS-2BE [ݜ] UCS-2LE [將] UTF-16 [ݜ] UTF-16BE [ݜ] UTF-16LE [將]
0x0827   0x085C 0x27   UCS-2 [࡜] UCS-2BE [࡜] UCS-2LE [專] UTF-16 [࡜] UTF-16BE [࡜] UTF-16LE [專]
0x0927   0x095C 0x27   UCS-2 [ड़] UCS-2BE [ड़] UCS-2LE [尉] UTF-16 [ड़] UTF-16BE [ड़] UTF-16LE [尉]
0x0A27   0x0A5C 0x27   UCS-2 [ੜ] UCS-2BE [ੜ] UCS-2LE [尊] UTF-16 [ੜ] UTF-16BE [ੜ] UTF-16LE [尊]
0x0B27   0x0B5C 0x27   UCS-2 [ଡ଼] UCS-2BE [ଡ଼] UCS-2LE [尋] UTF-16 [ଡ଼] UTF-16BE [ଡ଼] UTF-16LE [尋]
0x0C27   0x0C5C 0x27   UCS-2 [౜] UCS-2BE [౜] UCS-2LE [尌] UTF-16 [౜] UTF-16BE [౜] UTF-16LE [尌]
0x0D27   0x0D5C 0x27   UCS-2 [൜] UCS-2BE [൜] UCS-2LE [對] UTF-16 [൜] UTF-16BE [൜] UTF-16LE [對]
0x0E27   0x0E5C 0x27   UCS-2 [๜] UCS-2BE [๜] UCS-2LE [導] UTF-16 [๜] UTF-16BE [๜] UTF-16LE [導] JIS [ﾜ] ISO-2022-JP [ﾜ] JIS-ms [ﾜ] CP50220 [ﾜ] CP50220raw [ﾜ] CP50221 [ﾜ] CP50222 [ﾜ]
0x0F27   0x0F5C 0x27   UCS-2 [ཛྷ] UCS-2BE [ཛྷ] UCS-2LE [小] UTF-16 [ཛྷ] UTF-16BE [ཛྷ] UTF-16LE [小] JIS [\] ISO-2022-JP [\] ISO-2022-KR [\] JIS-ms [\] CP50220 [\] CP50220raw [\] CP50221 [\] CP50222 [\]
0x1027   0x105C 0x27   UCS-2 [ၜ] UCS-2BE [ၜ] UCS-2LE [尐] UTF-16 [ၜ] UTF-16BE [ၜ] UTF-16LE [尐]
0x1127   0x115C 0x27   UCS-2 [ᅜ] UCS-2BE [ᅜ] UCS-2LE [少] UTF-16 [ᅜ] UTF-16BE [ᅜ] UTF-16LE [少]
0x1227   0x125C 0x27   UCS-2 [ቜ] UCS-2BE [ቜ] UCS-2LE [尒] UTF-16 [ቜ] UTF-16BE [ቜ] UTF-16LE [尒]
0x1327   0x135C 0x27   UCS-2 [፜] UCS-2BE [፜] UCS-2LE [尓] UTF-16 [፜] UTF-16BE [፜] UTF-16LE [尓]
0x1427   0x145C 0x27   UCS-2 [ᑜ] UCS-2BE [ᑜ] UCS-2LE [尔] UTF-16 [ᑜ] UTF-16BE [ᑜ] UTF-16LE [尔]
0x1527   0x155C 0x27   UCS-2 [ᕜ] UCS-2BE [ᕜ] UCS-2LE [尕] UTF-16 [ᕜ] UTF-16BE [ᕜ] UTF-16LE [尕]
0x1627   0x165C 0x27   UCS-2 [ᙜ] UCS-2BE [ᙜ] UCS-2LE [尖] UTF-16 [ᙜ] UTF-16BE [ᙜ] UTF-16LE [尖]
0x1727   0x175C 0x27   UCS-2 [᝜] UCS-2BE [᝜] UCS-2LE [尗] UTF-16 [᝜] UTF-16BE [᝜] UTF-16LE [尗]
0x1827   0x185C 0x27   UCS-2 [ᡜ] UCS-2BE [ᡜ] UCS-2LE [尘] UTF-16 [ᡜ] UTF-16BE [ᡜ] UTF-16LE [尘]
0x1927   0x195C 0x27   UCS-2 [ᥜ] UCS-2BE [ᥜ] UCS-2LE [尙] UTF-16 [ᥜ] UTF-16BE [ᥜ] UTF-16LE [尙]
0x1A27   0x1A5C 0x27   UCS-2 [ᩜ] UCS-2BE [ᩜ] UCS-2LE [尚] UTF-16 [ᩜ] UTF-16BE [ᩜ] UTF-16LE [尚]
0x1B27   0x1B5C 0x27   UCS-2 [᭜] UCS-2BE [᭜] UCS-2LE [尛] UTF-16 [᭜] UTF-16BE [᭜] UTF-16LE [尛]
0x1C27   0x1C5C 0x27   UCS-2 [ᱜ] UCS-2BE [ᱜ] UCS-2LE [尜] UTF-16 [ᱜ] UTF-16BE [ᱜ] UTF-16LE [尜]
0x1D27   0x1D5C 0x27   UCS-2 [ᵜ] UCS-2BE [ᵜ] UCS-2LE [尝] UTF-16 [ᵜ] UTF-16BE [ᵜ] UTF-16LE [尝]
0x1E27   0x1E5C 0x27   UCS-2 [Ṝ] UCS-2BE [Ṝ] UCS-2LE [尞] UTF-16 [Ṝ] UTF-16BE [Ṝ] UTF-16LE [尞]
0x1F27   0x1F5C 0x27   UCS-2 [὜] UCS-2BE [὜] UCS-2LE [尟] UTF-16 [὜] UTF-16BE [὜] UTF-16LE [尟]
0x2027   0x205C 0x27   UCS-2 [⁜] UCS-2BE [⁜] UCS-2LE [尠] UTF-16 [⁜] UTF-16BE [⁜] UTF-16LE [尠]
0x2127   0x215C 0x27   UCS-2 [⅜] UCS-2BE [⅜] UCS-2LE [尡] UTF-16 [⅜] UTF-16BE [⅜] UTF-16LE [尡]
0x2227   0x225C 0x27   UCS-2 [≜] UCS-2BE [≜] UCS-2LE [尢] UTF-16 [≜] UTF-16BE [≜] UTF-16LE [尢]
